,Date_added,GRE_Q,GRE_V,GRE_W,GRE_sub,ST,Undergrad_GPA,admission_date,admission_status,admission_via,degree,institution,notes,program,season
38,20 Apr 2020,,,,,A,,20 Apr 2020,Rejected,E-mail,PhD,University Of Connecticut (UConn),"Admitted to the MS Biostats program instead, despite not indicating any interest in bio stats whatsoever 😂 no thanks.",Statistics,F20
39,18 Apr 2020,,,,,I,,23 Mar 2020,Accepted,E-mail,Masters,University Of Waterloo,ubc statistics undergrad. grades: 87/100,Statistics,F20
40,17 Apr 2020,,,,,O,,18 Apr 2020,Rejected,E-mail,Masters,University Of Toronto,Applied for the part-time program. Have been working for 4 years in the finance industry risk area. Average GPA from a Canadian University.,Statistics,F20
41,17 Apr 2020,,,,,,,17 Apr 2020,Rejected,E-mail,Masters,University Of Pittsburgh,I paid about a hundred bucks for the application and they didn't even bother at all to email me ANYTHING before the 15th. Apparently they are not taking anymore students this fall. Well good for you. Waste of money. Got accepted into other programs that are more responsible towards their applicant.,Statistics,F20
42,17 Apr 2020,158.0,0.0,0.0,,I,3.76,17 Apr 2020,Wait listed,E-mail,PhD,Bowling Green State University,"I got waitlisted for funding. If you got accepted to BGSU and decided not to attend, I would really appreciate it if you could decline the offer as soon as possible. This is my last hope now as I have no other offer yet. Please do inform the Graduate Coordinator about your plan to withdraw from this program asap to make place for candidates like me.",Statistics,F20
43,16 Apr 2020,,,,,U,,16 Apr 2020,Rejected,E-mail,PhD,"University Of California, Davis",,Statistics,F20
44,16 Apr 2020,165.0,168.0,3.5,,I,3.5,16 Apr 2020,Rejected,E-mail,Masters,University Of Toronto,,Statistics,S20
45,16 Apr 2020,,,,,U,,13 Apr 2020,Accepted,E-mail,PhD,University Of Pittsburgh,Almost the last chance!,Statistics,F20
46,15 Apr 2020,,,,,O,,16 Apr 2020,Other,E-mail,Masters,University Of Toronto,"I receive the following feedback today.

Thank you for reaching out. We have already sent out our final round of admissions offers for the ‪2020-21‬ MSc program. Over the next few weeks we will be closing admissions and all applications currently under review will be changed to decision made on the SGS Applications website.

 At that point you may review the final decision of your application online.",Statistics,F20
47,15 Apr 2020,,,,,I,,16 Apr 2020,Rejected,E-mail,Masters,Texas A & M University (TAMU),I sent a mail to make enquires since I didn't get any info for 3 months and I got a mail saying they were no longer sending out offers of admission but I could try applying for fall 2021 semester.,Statistics,F20
48,15 Apr 2020,,,,,,,15 Apr 2020,Rejected,E-mail,PhD,Columbia University,After waitlist. E-mail to check portal.,Statistics,F20
49,15 Apr 2020,163.0,162.0,5.0,,,3.65,15 Apr 2020,Rejected,Website,Masters,Carnegie Mellon University,Was emailed to view the rejection via their applicant portal.,Statistics,F20
50,15 Apr 2020,,,,,I,,15 Apr 2020,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics And Public Policy,F20
51,15 Apr 2020,,,,,O,,15 Apr 2020,Other,E-mail,Other,Texas A,"Just get the email. Thanks for your email. We are at the conclusion of our admission season, and will not be extending any additional offers of admission. We encourage you to apply for the Fall 2021 semester.",Statistics,F20
52,15 Apr 2020,,,,,O,,15 Apr 2020,Other,E-mail,Other,Texas A & M University (TAMU),"Just get the email. 'Thanks for your email. We are at the conclusion of our admission season, and will not be extending any additional offers of admission. We encourage you to apply for the Fall 2021 semester.'",Statistics,F20
53,15 Apr 2020,,,,,A,,14 Apr 2020,Rejected,E-mail,PhD,University Of Washington,Seems rather rude to wait this long to send the official rejection,Statistics,F20
54,15 Apr 2020,170.0,159.0,4.5,,I,,15 Apr 2020,Rejected,E-mail,Masters,University Of Illinois (UIUC),"Not too surprised I guess 
What took them so long? 
",Statistics,F20
55,15 Apr 2020,,,,,I,,14 Apr 2020,Rejected,E-mail,Masters,University Of Edinburgh,"Finally got the rejection 
been waiting for months",Statistics With Data Science,F20
56,15 Apr 2020,170.0,159.0,4.5,,I,,15 Apr 2020,Rejected,E-mail,Masters,UC San Diego (UCSD),"Finally got the rejection 
took them long enough",Statistics,F20
57,15 Apr 2020,166.0,152.0,3.0,,I,3.55,6 Mar 2020,Accepted,E-mail,Masters,NCSU (North Carolina State University),,Statistics,F20
58,15 Apr 2020,,,,,,,6 Apr 2020,Other,Other,Masters,University Of Toronto,"Emailed twice to the department to ask about status. Said they had sent out first round of offers in first email and will send out second round of offers once the first round successful applicants decide on their admission at the end of March. Second email sent to them on 6th April and was told final round of offers have been sent out and they will finalize all applications under review hopefully by 30th April. Kinda disappointed and have expected to be rejected by them. However, not sure if their information is plausible and wish they could have be more systematic in handling their application system instead of wasting people time unnecessarily.",Statistics,F20
59,15 Apr 2020,,,,,U,,15 Apr 2020,Other,POST,Masters,Columbia University,I haven’t heard back from the department and I was just wondering if anyone has an idea of what’s going on.. if I haven’t heard back does that mean I’m waitlisted?? Silent reject???? Or is anyone even waiting for this program.....,Statistics,F20
60,14 Apr 2020,,,,,U,,14 Apr 2020,Wait listed,Other,PhD,University Of Michigan,"Please turn down the offer if you get a better or same level offer, or do not plan to attend. This offer is very important to me and I sincerely appreciate your decision. I wish you all best of luck!",Statistics,F20
61,14 Apr 2020,,,,,I,,15 Apr 2020,Accepted,E-mail,PhD,The Wharton School Of The University Of Pennsylvania,finally got off the waitlist. turned down the offer from CMU right before. fingers crossed to everyone on the waitlist.,Statistics,F20
62,14 Apr 2020,170.0,153.0,4.0,,I,3.8,14 Apr 2020,Accepted,E-mail,PhD,"University Of California, Berkeley","I am the first person ""wait-listed below"". I just received an email for Fall 2020. No change on the website at all. ""I am happy to tell you that we were successful in obtaining another position, and we can offer you a position in our 2020-2021 PhD class""",Statistics,F20
63,14 Apr 2020,,,,,O,,14 Apr 2020,Accepted,Website,Masters,University Of Waterloo,"U of T undergrad in math. Status changed to admit without email notification, no offer letter or funding information provided yet.",Statistics,F20
64,14 Apr 2020,,,,,A,,14 Apr 2020,Other,E-mail,PhD,"University Of California, Berkeley","Received an email saying they are considering making more offers and asking if I would be interested in considering an offer for next year (I assume next year means Fall 2020). Decided to decline, I have already committed to another program that I am excited about.",Statistics,F20
65,14 Apr 2020,,,,,A,,13 Apr 2020,Wait listed,E-mail,PhD,"University Of California, Berkeley",Very confusing since I was rejected on March 6th.,Statistics,F20
66,14 Apr 2020,,,,,A,,14 Apr 2020,Other,E-mail,PhD,UC Berkeley,"TTPB: Actually I reread the email, it just said ""next year"" like yours, I assumed its for Fall 2021 but rereading makes it seem like Fall 2020 seems more plausible.",Statistics,F20
67,14 Apr 2020,,,,,I,,14 Apr 2020,Wait listed,E-mail,PhD,UC Berkeley,"TTPB: I got an email that says ""next year"". Does that mean Fall 2021 or next academic year?",Statistics,F20
68,14 Apr 2020,,,,,A,,13 Apr 2020,Other,E-mail,PhD,UC Berkeley,"Received an email saying they're considering giving an offer for Fall 2021, did anybody else get this?",Statistics,F20
69,14 Apr 2020,,,,,O,,14 Apr 2020,Other,Other,PhD,UC Berkeley,TTPB: Did they tell you when they are going to make final decisions by?,Statistics,F20
70,14 Apr 2020,,,,,I,,13 Apr 2020,Other,E-mail,Masters,Texas A&M University - College Station (TAMU),TTPB: Masters' applicant here. TAMU has not sent a single mail from their side and only replied with generic answers to my queries. Yesterday I emailed them asking if they'll be making any more decisions before April 15th. They said it is unlikely and that they'll be in a better position to make further decisions after the deadline.,Statistics,F20
71,14 Apr 2020,,,,,I,,14 Apr 2020,Wait listed,E-mail,PhD,"University Of California, Berkeley",,Statistics,F20
72,14 Apr 2020,,,,,,,24 Mar 2020,Rejected,E-mail,Masters,University College London (UCL),,Computational Statistics And Machine Learning,F20
73,13 Apr 2020,169.0,157.0,3.5,,I,3.3,14 Apr 2020,Accepted,E-mail,Masters,UIUC,applied on mar 31 and got in. 2-3 strong recommendation letters and I think that helped..,Statistics,F20
74,13 Apr 2020,,,,,,,14 Apr 2020,Other,Other,PhD,George Mason University (GMU),"TTPB: Yes, I did receive it with details.",Statistics,F20
75,13 Apr 2020,,,,,U,,5 Apr 2020,Accepted,Website,PhD,George Mason University,no funding,Statistics,F20
76,13 Apr 2020,,,,,I,,14 Apr 2020,Other,Other,Masters,Texas A&M University - College Station (TAMU),I haven't see any post on admission decision for MS Statistics......I wonder what's going on or has any applicant to MS Statistics program heard from TAMU?,Statistics,F20
77,13 Apr 2020,166.0,163.0,5.5,,U,3.54,9 Apr 2020,Rejected,E-mail,Masters,Cornell University,Told me to apply for Weill Cornell Medical College in NYC. I have zero interest in any medical field LOL.,Applied Statistics,F20
78,12 Apr 2020,,,,,,,13 Apr 2020,Other,Other,PhD,Colorado State University - Fort Collins,TTPB: I think you should contact professor Haonan Wang. He chatted with me quite a few times and gave an offer on the first run. I declined it a month ago.,Statistics,F20
79,12 Apr 2020,,,,,O,,12 Apr 2020,Other,Other,PhD,Colorado State University - Fort Collins,I haven't got any update form the department. My status still says it is under review. I emailed the department about a week ago and got no response. I saw some people got rejected. Does this mean I'm waitlisted? The national decision day is coming and now I'm getting anxious :/ could anybody please tell me who I should email to again or about my chance of being waitlisted?,Statistics,F20
80,12 Apr 2020,170.0,149.0,3.0,,I,3.7,10 Apr 2020,Rejected,E-mail,Masters,University Of Washington,,Statistics,F20
81,12 Apr 2020,,,,,A,,10 Apr 2020,Accepted,E-mail,PhD,Duke University,accepted off waitlist,Statistics,F20
82,11 Apr 2020,,,,,U,,11 Apr 2020,Other,Other,PhD,UMass-Amherst,Has any Ph.D applicator on waiting list heard anything yet? I got the email I am very close to the waiting list. Should be say goodbye?,Statistics,F20
83,10 Apr 2020,,,,,I,,11 Apr 2020,Rejected,E-mail,PhD,University Of Chicago,"Rejected off the waitlist
",Statistics,F20
84,10 Apr 2020,,,,,I,,10 Apr 2020,Other,E-mail,PhD,Rutgers University - New Brunswick,"TTPB: About two months ago, I sent an email to the Co-Graduate Directors after they had sent out their first round of offers, and the director told me that the admission committee is still considering my application. I am not sure whether it means that I was on the waiting list. If you want to know your application result, maybe you can also send emails to the graduate director. Good luck!",Statistics,F20
85,10 Apr 2020,170.0,156.0,3.5,,A,3.72,11 Apr 2020,Rejected,Website,PhD,Iowa State University,9a/3r/2p,Statistics,F20
86,10 Apr 2020,,,,,O,,10 Apr 2020,Other,Other,PhD,Rutgers University - New Brunswick,"TTPB, did you receive any notification (like being waitlisted) before they send you the offer? They did not reply all my inquiries, frustrating..",Statistics,F20
87,10 Apr 2020,,,,,I,,10 Apr 2020,Accepted,E-mail,PhD,Rutgers University - New Brunswick,Nearly the last chance...Great!,Statistics,F20
88,10 Apr 2020,,,,,,,10 Apr 2020,Wait listed,Other,Masters,University Of Michigan,"If you have been admitted to the MS Statistics program and not willing to go, kindly decline it soon! This is really really important for me. Thank you so much",Statistics,F20
89,10 Apr 2020,,,,,,,10 Apr 2020,Other,Other,PhD,"University Of California, Davis","Does anyone still wait for Davis? Emailed admission chair, no response.",Statistics,F20
90,10 Apr 2020,,,,,A,,10 Apr 2020,Rejected,E-mail,PhD,NCSU (North Carolina State University),Rejected off of waitlist. No surprises nor tears.,Statistics,F20
91,10 Apr 2020,170.0,166.0,5.0,,U,3.83,10 Apr 2020,Rejected,Website,PhD,Iowa State University,"TTB: I received something similar from the department, I got into a lot of schools so I am not really worried but I am a bit sad that I didn't get in!",Statistics,F20
92,10 Apr 2020,,,,,O,,18 Feb 2020,Wait listed,Other,PhD,University Of Michigan,"Please decline your offer if you get a better or equivalent one. This program is so important and last chance for me, and I truly appreciate your decision!",Statistics,F20
93,10 Apr 2020,169.0,161.0,4.0,,I,3.6,4 Apr 2020,Other,E-mail,Masters,Iowa State University,Got an email from the department saying they will not be making any additional offers prior to April 15. They suggested accepting an offer from another program if you have any and to notify them if you're still available after April 15. Although the chances that any positions will become available are quite slim.,Statistics,F20
94,10 Apr 2020,,,,,I,,9 Apr 2020,Wait listed,E-mail,PhD,New Jersey Institute Of Technology,"If you got accepted to NJIT and decided not to attend, I would really appreciate it if you could decline the offer as soon as possible. This is my last hope now as I have no other offer yet.",Mathematical Sciences (Statistics),F20
95,9 Apr 2020,,,,,A,,10 Apr 2020,Rejected,E-mail,PhD,University Of Michigan,Rejected off of waitlist asked if I want to be considered for the masters program.,Statistics,F20
96,9 Apr 2020,,,,,,,10 Apr 2020,Other,Other,Masters,Iowa State University,TTB: Your GRE and GPA are perfect. I cant figure out any reason ISU gonna reject you.,Statistics,F20
97,9 Apr 2020,,,,,,,10 Apr 2020,Other,Other,Masters,University Of Waterloo,Anyone still waiting for the response? My last hope,Statistics,F20
98,9 Apr 2020,,,,,U,,9 Apr 2020,Rejected,Website,PhD,Ohio State University,Checked the portal,Statistics,F20
99,9 Apr 2020,,,,,A,,9 Apr 2020,Rejected,Website,PhD,Ohio State University,Checked the portal and saw that status had been updated,Statistics,F20
100,9 Apr 2020,154.0,153.0,4.0,,A,,9 Apr 2020,Accepted,E-mail,PhD,Ohio State University,"Was told statement of purpose was ""exceptional""",Statistics,F20
101,9 Apr 2020,168.0,163.0,0.0,,U,3.7,9 Apr 2020,Other,E-mail,PhD,Iowa State University,I have emailed the department asking about the results. Got no response. Has anyone heard anything?,Statistics,F20
102,9 Apr 2020,,,,,,,9 Apr 2020,Other,Other,Masters,Iowa State University,Anyone got any email or updates for this program????,Statistics,F20
103,9 Apr 2020,,,,,,,7 Apr 2020,Rejected,E-mail,Masters,University Of Washington,Email notification after many months of ghosting,Statistics,F20
104,9 Apr 2020,,,,,A,,9 Apr 2020,Rejected,Website,Masters,Ohio State University,"Like TPB stated, GRE is important",Applied Statistics,F20
105,9 Apr 2020,,,,,U,,9 Apr 2020,Rejected,Website,Masters,Ohio State University,GRE is important,Statistics,F20
106,9 Apr 2020,,,,,O,,9 Apr 2020,Other,Other,PhD,Texas A&M University - College Station (TAMU),"Same as post below. No words for me as a PhD applicant either. I am about to give up on TAMU and just accept another school :(
I really want to stay in Texas but I guess that's a no for me. Literally rejected by 4 other Texas schools in this app season.",Statistics,F20
107,9 Apr 2020,,,,,U,,7 Apr 2020,Accepted,E-mail,Masters,Cornell University,,Applied Statistics,F20
108,9 Apr 2020,,,,,,,9 Apr 2020,Rejected,E-mail,Masters,University Of Washington,noooooooooooooooooooooooooooooooooooooo. i was the one asking all these while. whyyyyyyyy. im so saaaaaaaaaaaaaad.,Statistics,F20
109,9 Apr 2020,,,,,I,,9 Apr 2020,Other,Other,Masters,Texas A&M University - College Station (TAMU),I have sent the grad cord a lot of mails regarding my application status but he replies always with generic mail. I haven't seen any applicant for the masters program post their status here. I have submitted my application since December 2019,Statistics,F20
110,9 Apr 2020,,,,,U,,6 Apr 2020,Rejected,E-mail,PhD,"University Of California, Davis",Asked if interested in the MS program,Statistics,F20
111,9 Apr 2020,,,,,A,,9 Apr 2020,Other,E-mail,PhD,Rutgers University - New Brunswick,I emailed them recently as well and haven't gotten a response yet. I suspect it's due to the Corona Virus.,Statistics,F20
112,8 Apr 2020,,,,,U,,9 Apr 2020,Other,Other,MBA,UNC Chapel Hill,"Desperately waiting. If you decide not to attend, please, please decline the offer before 4/15",Statistics,F20
113,8 Apr 2020,,,,,O,,9 Apr 2020,Other,Other,PhD,Rice University,Anyone not interested in the program? I have not heard anything from the department since Dec. Hopefully when someone rejects their offer I would have a chance in the last minute.,Statistics,F20
114,8 Apr 2020,,,,,U,,9 Apr 2020,Other,POST,Masters,University Of Washington,ttpb: did u email them for update? or did u receive an email? pleaaseee share im really desperate for an update from them,Statistics,F20
115,8 Apr 2020,170.0,164.0,5.5,,A,3.55,8 Apr 2020,Rejected,E-mail,Masters,University Of Washington,,Statistics,F20
116,7 Apr 2020,,,,,U,,8 Apr 2020,Other,POST,PhD,Ohio State University,"TTPB: Same here, emailed both the staff and faculty, no reply yet, not sure what is going on. Anyway, best of luck to everyone still waiting for their decisions!",Statistics,F20
117,7 Apr 2020,,,,,,,7 Apr 2020,Accepted,E-mail,Masters,Cornell University,,Applied Statistics,F20
118,7 Apr 2020,,,,,O,,7 Apr 2020,Other,Other,Masters,Ohio State University,"checked the portal over ten times today and still, nothing came out.",Statistics,F20
119,7 Apr 2020,170.0,159.0,4.0,,A,3.86,7 Apr 2020,Accepted,E-mail,Masters,Cornell University,"Received acceptance email. Undergrad in MIS, 3 years work exp as data analyst/engineer.",Applied Statistics,F20
120,7 Apr 2020,,,,,U,,7 Apr 2020,Accepted,Website,Masters,Duke University,Put me in waitlist on March 9th. Resend me an admission offer today morning,Statistics,F20
121,7 Apr 2020,,,,,U,,7 Apr 2020,Other,Other,PhD,Rutgers University - New Brunswick,Anyone got response from Rutgers recently? Emailed the department several times but received not response. Does that mean I'm waitlisted? Any information is appreciated.,Statistics,F20
122,7 Apr 2020,,,,,O,,7 Apr 2020,Wait listed,E-mail,PhD,University Of Oxford,Waitlisted for Statml,Statistics,F20
123,7 Apr 2020,,,,,O,,7 Apr 2020,Other,E-mail,PhD,George Mason University (GMU),TPB: Did you received the official funding letter?,Statistics,F20
124,7 Apr 2020,,,,,I,,3 Mar 2020,Wait listed,E-mail,PhD,UNC Charlotte,"If anyone has been extended an offer but is not planning to attend, please decline the offer as soon as possible at least in advance of 4/15. If you already made up your mind, please don't wait for the common reply date. They are waiting to hear from you (first round of offers) before offering other places. I am begging for your mercy. This is my last hope as I have no other offer yet.",Statistics,F20
125,7 Apr 2020,169.0,148.0,3.0,,U,3.65,6 Apr 2020,Accepted,E-mail,PhD,George Mason University (GMU),TAship 22.5K for 9 months + Tuition Waiver + Health Insurance,Statistics,F20
126,7 Apr 2020,,,,,I,,6 Apr 2020,Rejected,E-mail,PhD,Colorado State University,Expected,Statistics,F20
127,6 Apr 2020,,,,,I,,6 Apr 2020,Rejected,E-mail,PhD,"University Of California, Davis",switch to ms,Statistics,F20
128,6 Apr 2020,,,,,U,,26 Mar 2020,Rejected,E-mail,PhD,University Of Toronto,,Statistics,F20
129,6 Apr 2020,,,,,,,7 Apr 2020,Other,Other,PhD,Colorado State University - Fort Collins,"TPB: CSU had a round of response deadline on Mar 16 (as for me, already declined, but it seems like there are many accepting it). So I think they already sent out the 2nd round, or in the process of sending it. Btw they said they sent out 16 offers overall (40% international, 60% domestic) for that round, so I'd assume they won't have a whole lot of 2nd round offers. But good to keep your fingers crossed.",Statistics,F20
130,6 Apr 2020,,,,,U,,7 Apr 2020,Other,Other,PhD,Colorado State University,Is there anyone who heard back from CSU recently? I am on a waitlist. Please decline if you have a better choice!,Statistics,F20
131,6 Apr 2020,,,,,U,,7 Apr 2020,Accepted,E-mail,PhD,Virginia Tech,Received the email from the admission office with unofficial offer full funding and tuition waiver. The official letter will come out in the next following days. No interview.,Statistics,F20
132,6 Apr 2020,,,,,A,,6 Apr 2020,Rejected,E-mail,PhD,"University Of California, Davis",,Statistics,F20
133,6 Apr 2020,,,,,A,,6 Apr 2020,Rejected,Website,Masters,Ohio State University,,Statistics,F20
134,6 Apr 2020,,,,,,,6 Apr 2020,Other,POST,Masters,University Of Washington,"TTPB: I'm waiting for mine too.. I've emailed the department about 4 times (latest last week) and the coordinator kept saying the same thing that ""there are no updates/decision made at this time, hopefully you will hear back before April 15th"".. it's crazy bc most of my other application needs a decision by the 15th. but this is my top choice so i'm literally stressed out.",Statistics,F20
135,6 Apr 2020,,,,,,,6 Apr 2020,Other,Other,Masters,University Of Washington,"Anybody not hearing back from them yet? I emailed them in March, and all they said was ""no decision has been made yet, hopefully we will let you know in April"". Anybody in the same boat and knows what's going on?",Statistics,F20
136,6 Apr 2020,,,,,A,,6 Apr 2020,Rejected,E-mail,PhD,"University Of California, Davis",Email asking me if I wish to be considered for the MS. No thanks!,Statistics,F20
137,6 Apr 2020,,,,,I,,3 Apr 2020,Accepted,E-mail,Masters,University Of Cambridge,"Degree comitee : 03/15
GaO : 03/30
Offer : 04/03 (Website then email)","MASt In Mathematical Statistics, Part Iii",F20
138,6 Apr 2020,,,,,I,,6 Apr 2020,Other,Other,PhD,University Of Chicago,Hi is anyone rejected or accepted off the waitlist? I’m still waiting for the final decision!,Statistics,F20
139,5 Apr 2020,,,,,U,,6 Apr 2020,Other,Other,PhD,University Of Florida,Has anyone heard back from them recently?,Statistics,F19
140,5 Apr 2020,,,,,,,5 Apr 2020,Other,Other,PhD,University Of North Carolina Chapel Hill (UNC),"Any information regarding the program? This program is my last chance. I emailed both department and the professor in charge of Ph.D. admission, and received only the generic answer (your application is still under review) from the department and no answer from the professor.",Statistics,F20
